Cell_ID	disp_x	disp_y	disp_z
0	2.59014e-06	1.37853e-06	1.37853e-06
1	4.12504e-06	1.80744e-06	1.80744e-06
2	5.79993e-06	2.07053e-06	2.07053e-06
3	7.44382e-06	2.23917e-06	2.23917e-06
4	9.1334e-06	2.33549e-06	2.33549e-06
5	1.08645e-05	2.3961e-06	2.3961e-06
6	1.26431e-05	2.43504e-06	2.43504e-06
7	1.44632e-05	2.46462e-06	2.46462e-06
8	1.63214e-05	2.49132e-06	2.49132e-06
9	1.82142e-05	2.51917e-06	2.51917e-06
10	2.01398e-05	2.55025e-06	2.55025e-06
11	2.20978e-05	2.58558e-06	2.58558e-06
12	2.40892e-05	2.62559e-06	2.62559e-06
13	2.61154e-05	2.67034e-06	2.67034e-06
14	2.81789e-05	2.7197e-06	2.7197e-06
15	3.02821e-05	2.77345e-06	2.77345e-06
16	3.24277e-05	2.83134e-06	2.83134e-06
17	3.46185e-05	2.89314e-06	2.89314e-06
18	3.68572e-05	2.95869e-06	2.95869e-06
19	3.91465e-05	3.02786e-06	3.02786e-06
20	4.14893e-05	3.10062e-06	3.10062e-06
21	4.38883e-05	3.17693e-06	3.17693e-06
22	4.63462e-05	3.25682e-06	3.25682e-06
23	4.88659e-05	3.34025e-06	3.34025e-06
24	5.145e-05	3.4272e-06	3.4272e-06
25	5.4101e-05	3.51757e-06	3.51757e-06
26	5.68214e-05	3.61124e-06	3.61124e-06
27	5.96131e-05	3.70809e-06	3.70809e-06
28	6.24784e-05	3.80796e-06	3.80796e-06
29	6.54192e-05	3.91073e-06	3.91073e-06
30	6.84375e-05	4.01625e-06	4.01625e-06
31	7.15349e-05	4.12438e-06	4.12438e-06
32	7.47134e-05	4.2349e-06	4.2349e-06
33	7.79746e-05	4.34759e-06	4.34759e-06
34	8.13201e-05	4.46217e-06	4.46217e-06
35	8.47512e-05	4.57836e-06	4.57836e-06
36	8.82692e-05	4.69587e-06	4.69587e-06
37	9.18754e-05	4.8145e-06	4.8145e-06
38	9.55709e-05	4.93407e-06	4.93407e-06
39	9.93566e-05	5.05449e-06	5.05449e-06
40	0.000103234	5.17567e-06	5.17567e-06
41	0.000107203	5.29753e-06	5.29753e-06
42	0.000111265	5.42001e-06	5.42001e-06
43	0.000115422	5.54316e-06	5.54316e-06
44	0.000119673	5.66717e-06	5.66717e-06
45	0.000124021	5.7924e-06	5.7924e-06
46	0.000128465	5.91922e-06	5.91922e-06
47	0.000133005	6.04782e-06	6.04782e-06
48	0.000137643	6.17811e-06	6.17811e-06
49	0.000142378	6.30973e-06	6.30973e-06
50	0.000147211	6.4422e-06	6.4422e-06
51	0.000152143	6.57511e-06	6.57511e-06
52	0.000157174	6.70829e-06	6.70829e-06
53	0.000162307	6.84174e-06	6.84174e-06
54	0.00016754	6.97555e-06	6.97555e-06
